Day,Platform,Format,Copy,Hashtags,Quality Score,Status
17,linkedin,caption,"Honestly, I've had it with small talk too. Conversations that only scratch the surface. At Pluto, we're on a mission to go beyond the facade. We want to connect you with someone who genuinely cares about what makes you tick. What do you do when disagreements arise? Do you think it's ever okay to have tough conversations?",#PlutoApp #ConversationsMatter #AuthenticConnections,0.69,validated
18,instagram,caption,"Only 40% of Indians think Tinder gets it right. 
   Let's be honest, online dating can be a mess. 
   At Pluto, we figured out a better way. 
   No swiping, no endless profiles. 
   We ask real questions – about you, about what matters. 
   No height, no age. Just you, being you. 
   If that sounds like your jam, download Pluto in the link in our bio.",#Plutodating #IndianDating #AuthenticLove,0.65,validated
18,twitter,caption,"Tired of profiles that feel like resumes? 1 in 5 matches on other apps are ghosted within a week. If you're tired of the fake game, try Pluto - we're made for real conversations.",#MadeForRealConvo,0.68,validated
19,twitter,caption,"We're stoked Rohan and Apeksha found love on Pluto! Unlike other apps, they ditched shallow matches and ghosting for genuine connections based on honesty, kindness, and shared values. 1 in 5 users here prioritize these values too - if you're tired of swiping, give Pluto a try and find your perfect match.","#Made in India, Made for India",0.76,validated
20,linkedin,caption,"Listen, we're not just a match-making service. Our support team is made up of people who've been there – the frustrating swipes, the endless conversations, the 'maybe we'll-work' vibes. We've got your back, and we're here to guide you through the mess. So, if you're stuck on a string of unfulfilling swipes, let's get real about what's going wrong and figure out how to do better, together.",#PlutoAppSupport #AuthenticDating,0.63,validated
21,instagram,caption,"Ditch the profiles, find the real deal. We're not about superficial swipes and generic questions. Our conversations start with the things that truly matter – like how you handle disagreements or what makes a perfect weekend. No lengthy questionnaires here. Just real people, real questions, and real connections. Ready to meet someone worth your time? 🤝

Save for later, share with friends, or swipe right in bio. 

#plutoapp #realconnections #breaktheswipe",#plutoapp #realconnections #breaktheswipe,0.73,validated
22,twitter,caption,We ditch the shallow profiles on Pluto. Why? Because answering real questions helps you find people who actually get you. Want to see if we're right?,#MadeInIndiaMadeForIndia,0.68,validated
23,instagram,caption,"Tired of endless swipes and shallow connections? 
We're here to help you find what you're looking for.
You've tried the usual suspects: scrolled through hundreds, had conversations that fizzled, and wondered... is there a better way to meet someone?
We've been there too, and we asked the tough questions: what you do when disagreements happen, what a perfect weekend looks like.
Ready to meet someone who's a great match? Download PlutoApp now.
Join a community that values real connections over swipes.
",#plutotalks #realconnections,0.74,validated
23,twitter,caption,"1 in 5 singles swiped left on shallow convo, not the person. That's why we built Pluto – for real talks and meaningful connections. Join our curated events and group chats for a change.",#datingapp,0.73,validated
24,linkedin,caption,"In India, dating apps are a multi-billion dollar industry - but I'm not convinced most of them deliver. Swipe fatigue is real. I've been on my fair share of apps where you match with people who live in a different city, or who share none of your interests. But at Pluto, we think differently. We ask real questions that help us match you with people who share your values and passions. Take our user in Mumbai, for example. He was hesitant to try online dating, but after meeting someone on Pluto, he found love and a sense of belonging. What if your next relationship was with someone who truly understands you?",#DatingApps #PlutoApp #India,0.68,validated
25,instagram,caption,"Tired of swiping through profiles that feel like a waste of time? 
I've tried the others, too. 
What I really crave is a connection that goes beyond just a swipe. 
We ask the tough questions, like how you navigate disagreements and what makes your ideal weekend. 
Not because it's a checklist, but because it's real. 
This is where the other apps stall. 
But on Pluto, we're just getting started. 
Ready to meet someone who shares your values? 
Link in bio to download PlutoApp!",##MadeinIndiaMadeForIndia ##PlutoApp ##AuthenticConnections,0.65,validated
26,twitter,caption,"Tired of shallow talk? We ditch the small talk, answer real questions first, then match you with people who actually care. Think disagreements over chai, weekend plans, and what makes you tick. Join us for conversations that matter.",#madeinindia #madeforindia,0.73,validated
27,instagram,caption,"Done with swiping just for the sake of it? 
   No more endless profiles, no more superficial matches. 
   Our app isn't for people collecting options – it's for those who want to meet someone worth their time. 
   Want to ditch the swipes and find someone who actually cares? 
   Start meeting people who share your values, passions, and quirks with PlutoApp (link in bio).",##PlutoApp ##MadeForRealConnections ##RealPeopleMatter,0.58,validated
27,twitter,caption,Done with endless swiping? So are we. Make this weekend memorable with PlutoApp. We don't just match you with anyone. We ask real questions first. Want a relationship that goes beyond 'hello'? Start with honest conversations.,#WeekendVibes #RelationshipGoals,0.85,validated
28,linkedin,caption,"PlutoApp is the anti-swipe fest. Stuck in a sea of shallow connections? Ria and Karan ditched the usual dating apps and found each other on PlutoApp. They had given up on superficial matches and were ready to meet someone who shared their values. See, it's not about ditching romance for reality – it's about finding the courage to be honest with yourself about what you truly want. Ready to take the leap and find love on your own terms?",#MadeInIndiaMadeForIndia #RealLoveOnPlutoApp,0.63,validated
29,twitter,caption,"Done with ghosting and pointless profiles for good? Our support team does what other apps don't: they ask real questions to find you people who actually care. We made Pluto for those who know what they want, not for collectors. If that's you, let's get you started.",#PlutoApp,0.63,validated
30,instagram,caption,"We don't believe in swiping through profiles like they're a never-ending buffet. Instead, we want to know you - the real, messy, beautiful you. At Pluto, we're not here to collect options, we're here to find the people who truly get you.

We ask the tough questions, like what you do on a Sunday morning or how you handle disagreements. It's not about your profile picture; it's about the stories you tell and the ones you want to hear. 

If that sounds like a different kind of dating app to you, welcome to the crew. We're here for the real connections.

Link in bio to get started.",#PlutoApp #RealConnections #AuthenticLove,0.79,validated
30,linkedin,caption,"Tired of ghosting and shallow conversations? We get it. Modern dating can be a minefield. That's why we built Pluto - to help people find connections that actually matter. Not just numbers, not just superficial matches. We're talking genuine connections that bring people together around shared values and interests. Like, finding someone who loves hiking as much as you do, or who's passionate about social justice. Ready to find someone worth your time? Join Pluto today and start building relationships that last.",#plutoinc #meaningfulconnections #authenticdating,0.76,validated
30,twitter,ad_copy,"Tired of Tinder and Bumble? Many people have ditched them for good. Want love that sticks? We welcome all kinds, not just swipers. Meet someone worth your time on Pluto. Download now: [link]",#PlutoApp,0.73,validated
